id,name,description,slug,url,icon,help_index_title,help_index_content,help_create_title,help_create_content,help_edit_title,help_edit_content,list_order,is_hidden,parent_id,url_parent_id,created_at,updated_at,deleted_at,created_by,updated_by,deleted_by
"1","Dashboard","Dashboard","/","/admin","tachometer-alt","","","","","","","1","0","0","0","2020-01-27 12:11:41","2020-01-27 12:11:41",,"0","0",
"2","Latest Activity","Latest Activity","activities","/admin/activities","history","","","","","","","3","0","0","0","2020-01-27 12:11:41","2020-01-27 12:11:43",,"0","0",
"3","Website","","website","/admin/activities/website","home","","","","","","","1","0","2","2","2020-01-27 12:11:41","2020-01-27 12:11:41",,"0","0",
"4","Admin","Admin","admin","/admin/activities/admin","lock","","","","","","","2","0","2","2","2020-01-27 12:11:41","2020-01-27 12:11:41",,"0","0",
"5","Accounts","Accounts","accounts","/admin/accounts","users","","","","","","","10","0","0","0","2020-01-27 12:11:41","2020-01-29 06:30:28",,"0","0",
"6","Clients","Clients","clients","/admin/accounts/clients","user","","","","","","","1","0","5","5","2020-01-27 12:11:41","2020-01-27 12:11:41",,"0","0",
"7","Administrators","","administrators","/admin/accounts/administrators","universal-access","","","","","","","2","0","5","5","2020-01-27 12:11:41","2020-01-27 12:11:41",,"0","0",
"8","Profile","","profile","/admin/profile","user","","","","","","","2","1","0","0","2020-01-27 12:11:41","2020-01-27 12:11:43",,"0","0",
"9","Settings","","settings","/admin/settings","cogs","","","","","","","12","0","0","0","2020-01-27 12:11:41","2020-01-29 06:30:28",,"0","0",
"10","Navigation","","navigations","/admin/settings/navigations","align-center","Help","Helpful text here - explaining what u can do here...","Information","Please complete the form to create the navigation","","","3","0","9","9","2020-01-27 12:11:41","2020-01-27 13:59:10",,"0","0",
"11","Navigation Order","Navigation Order","order","/admin/settings/navigations/order","list-ol","","","","","","","1","1","10","10","2020-01-27 12:11:41","2020-01-27 12:11:43",,"0","0",
"12","Roles","Roles","roles","/admin/settings/roles","universal-access","","","","","","","1","0","9","9","2020-01-27 12:11:41","2020-01-27 12:11:41",,"0","0",
"13","Settings","Settings","settings","/admin/settings/settings","cog","","","","","","","2","0","9","9","2020-01-27 13:58:56","2020-01-27 13:59:10",,"0","0",
"14","Pages","Pages","pages","/admin/pages","bars","Note:","All the Navigation and the page's content for the website","","","","","5","0","0","0","2020-01-29 06:25:55","2020-01-29 06:30:28",,"0","0",
"15","Banners","Banners","banners","/admin/banners","image","","","","","","","4","0","0","0","2020-01-29 06:30:23","2020-01-29 06:30:28",,"0","0",
"16","Analytics","Website Analytics","analytics","/admin/analytics","chart-line","","","","","","","12","0","0","0","2020-03-20 10:04:00","2020-03-20 10:07:00",,"0","0",
"17","Summary","Analytics Summary","summary","/admin/analytics/summary","star-half-alt","","","","","","","1","0","16","16","2020-03-20 10:05:00","2020-03-20 10:07:00",,"0","0",
"18","Devices","Analytics on Devices used","devices","/admin/analytics/devices","mobile-alt","","","","","","","2","0","16","16","2020-03-20 10:06:00","2020-03-20 10:07:00",,"0","0",
"19","Visits and Referrals","Visits and Referrals","visits-and-referrals","/admin/analytics/visits-and-referrals","link","","","","","","","3","0","16","16","2020-03-20 10:07:00","2020-03-20 10:07:00",,"0","0",
"20","Interests","Interests","interests","/admin/analytics/interests","heart","","","","","","","4","0","16","16","2020-03-20 11:27:00","2020-03-20 11:27:00",,"0","0",
"21","Demographics","Demographics","demographics","/admin/analytics/demographics","female","","","","","","","5","0","16","16","2020-03-20 11:28:00","2020-03-20 11:28:00",,"0","0",
"22","Resources","Resources","resources","/admin/resources","photo-video","","","","","","","6","0","0","0","2020-04-16 11:28:00","2020-04-16 11:28:00",,"0","0",
"23","Categories","Categories","categories","/admin/resources/categories","cubes","","","","","","","1","0","22","22","2020-04-16 11:28:00","2020-04-16 11:28:00",,"0","0",
"24","Photos","Photos","photos","/admin/resources/photos","image","","","","","","","2","0","22","22","2020-04-16 11:28:00","2020-04-16 11:28:00",,"0","0",
"25","Videos","Videos","videos","/admin/resources/videos","video","","","","","","","3","0","22","22","2020-04-16 11:28:00","2020-04-16 11:28:00",,"0","0",
"26","Documents","Documents","documents","/admin/resources/documents","file-pdf","","","","","","","4","0","22","22","2020-04-16 11:28:00","2020-04-16 11:28:00",,"0","0",
"27","Reports","Reports","reports","/admin/reports","file-alt","","","","","","","11","0","0","0","2020-05-01 11:28:00","2020-05-01 11:28:00",,"0","0",
"28","Contact Us","Contact Us","contact-us","/admin/reports/contact-us","comments","","","","","","","1","0","27","27","2020-05-01 11:28:00","2020-05-01 11:28:00",,"0","0",
"29","News","News","news","/admin/news","newspaper","","","","","","","7","0","0","0","2020-05-01 11:28:00","2020-05-01 11:28:00",,"0","0",
"30","Categories","Categories","categories","/admin/news/categories","cubes","","","","","","","1","0","29","29","2020-05-01 11:28:00","2020-05-01 11:28:00",,"0","0",
"31","Articles","Articles","articles","/admin/news/articles","newspaper","","","","","","","2","0","29","29","2020-05-01 11:28:00","2020-05-01 11:28:00",,"0","0",
"32","Shop","Shop","shop","/admin/shop","shopping-cart","","","","","","","8","0","0","0","2020-05-01 11:28:00","2020-05-01 11:28:00",,"0","0",
"33","Status","Status","status","/admin/shop/status","star-half-alt","","","","","","","1","0","32","32","2020-05-01 11:28:00","2020-05-01 11:28:00",,"0","0",
"34","Categories","Categories","categories","/admin/shop/categories","cubes","","","","","","","2","0","32","32","2020-05-01 11:28:00","2020-05-01 11:28:00",,"0","0",
"35","Features","Features","features","/admin/shop/features","plus-square","","","","","","","3","0","32","32","2020-05-01 11:28:00","2020-05-01 11:28:00",,"0","0",
"36","Products","Products","products","/admin/shop/products","shopping-basket","","","","","","","4","0","32","32","2020-05-01 11:28:00","2020-05-01 11:28:00",,"0","0",
"37","Orders","Orders","transactions","/admin/shop/transactions","credit-card","","","","","","","5","0","32","32","2020-05-01 11:28:00","2020-05-01 11:28:00",,"0","0",
"38","Searches","Searches","searches","/admin/shop/searches","search","","","","","","","6","0","32","32","2020-05-01 11:28:00","2020-05-01 11:28:00",,"0","0",
"39","FAQs","question-circle","faqs","/admin/faqs","question-circle","","","","","","","7","0","0","0","2020-05-06 11:02:02","2020-05-06 11:02:02",,"0","0",
